Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT, PMax,alpha,In Use REPLICA,LOAD,COSTS,RULE,Column1,Column2
mRUBiS #1,Region Item Filter,CF1,0,4938.575604,24,3,0.5,22,2,1,1.175641639,5.323259165,154.1970896,0,0,1.53,LwRedeployComponent,,
mRUBiS #1,Buy Now Item Filter,CF1,0,8292.035756,13,4,0.5,22,3,1,1.009460361,12.80042434,79.38079925,0,0,0.35,RestartComponent,,
mRUBiS #1,Buy Now Item Filter,CF2,0,8292.035756,13,4,0.5,22,3,1,1.009460361,12.80042434,79.38079925,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Comment Item Filter,CF3,9.09E-13,4330.226055,23,3,0.5,22,2,1,1.055558678,5.798189426,73.83963857,59,4586,1.66,HwRedeployComponent,,
mRUBiS #1,Seller Reputation Item Filter,CF5,0,17904.04797,30,4,0.5,22,3,1,1.488639397,11.29502493,99.09821681,0,4586,0.5,AddReplica,,
mRUBiS #1,Recommendation Item Filter,CF3,0,11481.62863,30,4,0.5,22,3,1,1.197651763,5.804851083,144.2496651,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Query Service,CF3,0,168431.3739,27,47,0.5,22,46,1,1.101619202,6.164631462,85.67035109,0,0,2.98,HwRedeployComponent,,
mRUBiS #1,Past Sales Item Filter,CF3,0,13658.19981,16,4,0.5,22,3,1,1.267239584,16.46641841,88.50170648,55,4586,1.69,HwRedeployComponent,,
mRUBiS #1,Google Authentication Service,CF2,2.91E-11,248798.6444,22,20,0.9,22,19,1,1.211251277,11.91320797,105.9324131,0,0,0.35,RestartComponent,,
mRUBiS #1,Availability Item Filter,CF1,1.82E-12,15098.98631,23,6,0.5,22,5,1,1.110298158,5.972367311,77.34298858,0,0,0.35,RestartComponent,,
mRUBiS #1,Google Authentication Service,CF1,2.91E-11,248798.6444,22,20,0.9,22,19,1,1.211251277,11.91320797,105.9324131,0,0,0.35,RestartComponent,,
mRUBiS #1,Buy Now Item Filter,CF2,0,11059.41254,13,5,0.5,22,4,1,1.009460361,12.80042434,79.38079925,0,0,1.64,LwRedeployComponent,,
