Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,In Use REPLICA,LOAD
mRUBiS #1,User Management Service,CF2,3.637978807091713E-12,21275.46591742011,30.0,1.6899999999999997,4,0.5,22.0,0,4,1.4601284359665698,HwRedeployComponent,12.903071031381682,167.7922012582917,0.0,0.0,

mRUBiS #1,Past Sales Item Filter,CF5,0.0,13658.199806458586,16.0,0.5,4,0.5,22.0,3,1,1.2672395839304218,AddReplica,16.46641841097758,88.50170647587598,54.0,4586.0,

mRUBiS #1,Availability Item Filter,CF2,1.8189894035458565E-12,9054.950595931978,23.0,1.64,4,0.5,22.0,3,1,1.1102981576479085,LwRedeployComponent,5.972367310611631,77.34298858308269,0.0,0.0,

mRUBiS #1,Category Item Filter,CF3,1.8189894035458565E-12,10918.485231063696,20.0,1.69,4,0.5,22.0,3,1,1.0066333636273284,HwRedeployComponent,9.717121663045125,137.96068754082563,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF3,0.0,8292.035755908864,13.0,1.69,4,0.5,22.0,3,1,1.0094603613799904,HwRedeployComponent,12.80042434199084,79.38079925152111,57.0,4586.0,

mRUBiS #1,Bid and Buy Service,CF5,0.0,10622.534756844156,27.0,0.5,5,0.5,22.0,0,5,1.3561341802413516,AddReplica,8.06065708747934,73.95946339621557,0.0,4586.0,

mRUBiS #1,Region Item Filter,CF1,0.0,4938.575604123746,24.0,1.53,3,0.5,22.0,2,1,1.175641638639615,LwRedeployComponent,5.323259164684098,154.1970895537866,0.0,0.0,

mRUBiS #1,Region Item Filter,CF1,0.0,4938.575604123746,24.0,1.53,3,0.5,22.0,2,1,1.175641638639615,LwRedeployComponent,5.323259164684098,154.1970895537866,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF1,0.0,8292.035755908864,13.0,0.35,4,0.5,22.0,3,1,1.0094603613799904,RestartComponent,12.80042434199084,79.38079925152111,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF2,0.0,8292.035755908864,13.0,1.69,4,0.5,22.0,3,1,1.0094603613799904,HwRedeployComponent,12.80042434199084,79.38079925152111,0.0,0.0,

mRUBiS #1,Comment Item Filter,CF3,9.094947017729282E-13,4330.226055339617,23.0,1.66,3,0.5,22.0,2,1,1.0555586777885382,HwRedeployComponent,5.798189425816586,73.83963856894468,59.0,4586.0,

mRUBiS #1,Seller Reputation Item Filter,CF5,0.0,17904.047965330876,30.0,0.5,4,0.5,22.0,3,1,1.4886393972299505,AddReplica,11.295024934466905,99.0982168102818,0.0,4586.0,

mRUBiS #1,Recommendation Item Filter,CF3,0.0,11481.628626051683,30.0,1.69,4,0.5,22.0,3,1,1.1976517633224057,HwRedeployComponent,5.804851082669145,144.24966512464175,0.0,0.0,

mRUBiS #1,Query Service,CF3,0.0,168431.37387840587,27.0,2.9799999999999995,47,0.5,22.0,46,1,1.1016192018337365,HwRedeployComponent,6.1646314621001395,85.67035108530558,0.0,0.0,

mRUBiS #1,Past Sales Item Filter,CF3,0.0,13658.199806458586,16.0,1.69,4,0.5,22.0,3,1,1.2672395839304218,HwRedeployComponent,16.46641841097758,88.50170647587598,55.0,4586.0,

mRUBiS #1,Google Authentication Service,CF2,2.9103830456733704E-11,248798.64435469217,22.0,0.35,20,0.9,22.0,19,1,1.2112512772664892,RestartComponent,11.913207967664766,105.9324130771619,0.0,0.0,

mRUBiS #1,Availability Item Filter,CF1,1.8189894035458565E-12,15098.98631427095,23.0,0.35,6,0.5,22.0,5,1,1.1102981576479085,RestartComponent,5.972367310611631,77.34298858308269,0.0,0.0,

mRUBiS #1,Google Authentication Service,CF1,2.9103830456733704E-11,248798.64435469217,22.0,0.35,20,0.9,22.0,19,1,1.2112512772664892,RestartComponent,11.913207967664766,105.9324130771619,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF2,0.0,11059.41254241642,13.0,1.64,5,0.5,22.0,4,1,1.0094603613799904,LwRedeployComponent,12.80042434199084,79.38079925152111,0.0,0.0,

mRUBiS #1,Bid and Buy Service,CF1,0.0,10622.534756844156,27.0,1.7199999999999998,5,0.5,22.0,0,5,1.3561341802413516,HwRedeployComponent,8.06065708747934,73.95946339621557,59.0,4586.0,

mRUBiS #1,Query Service,CF1,-2.9103830456733704E-11,175754.9560553808,27.0,3.04,49,0.5,22.0,48,1,1.1016192018337365,HwRedeployComponent,6.1646314621001395,85.67035108530558,0.0,0.0,

mRUBiS #1,Region Item Filter,CF2,0.0,4938.575604123746,24.0,1.64,3,0.5,22.0,2,1,1.175641638639615,LwRedeployComponent,5.323259164684098,154.1970895537866,0.0,0.0,

mRUBiS #1,Item Management Service,CF3,0.0,18480.55531332465,25.0,1.6899999999999997,4,0.5,22.0,0,4,1.0771552504234878,HwRedeployComponent,13.448237720602824,126.90117522485181,0.0,0.0,

mRUBiS #1,Comment Item Filter,CF5,0.0,4330.226055339615,23.0,0.5,3,0.5,22.0,2,1,1.0555586777885382,AddReplica,5.798189425816586,73.83963856894468,0.0,4586.0,

mRUBiS #1,Region Item Filter,CF3,0.0,4938.575604123746,24.0,1.66,3,0.5,22.0,2,1,1.175641638639615,HwRedeployComponent,5.323259164684098,154.1970895537866,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF1,0.0,11059.41254241642,13.0,1.7199999999999998,5,0.5,22.0,4,1,1.0094603613799904,HwRedeployComponent,12.80042434199084,79.38079925152111,0.0,0.0,

